['BojanBogdanovic', 'ZachRandolph']
['KyleLowry', 'OGAnunoby']
['BenSimmons', 'RichaunHolmes']
['LaMarcusAldridge', 'PattyMills']
['DamianLillard', 'EdDavis']
['StanleyJohnson', 'ReggieJackson']
['TaureanWallerPrince', 'MalcolmDelaney']
['BradleyBeal', 'JodieMeeks']
['JaysonTatum', 'DanielTheis']
['SpencerDinwiddie', 'TylerZeller']
['KembaWalker', 'MichaelCarterWilliams']
['JustinHoliday', 'PaulZipser']
['LeBronJames', 'CediOsman']
['JoeIngles', 'EkpeUdoh']
['HarrisonBarnes', 'SalahMejri']
['WillBarton', 'TorreyCraig']
['KlayThompson', 'ShaunLivingston']
['DeMarDeRozan', 'CJMiles']
['JamesHarden', 'NeneHilario']
['ManuGinobili', 'DavisBertans']
['BogdanBogdanovic', 'WillieCauleyStein']
['DomantasSabonis', 'AlJefferson']
['TobiasHarris', 'SamDekker']
['KentaviousCaldwellPope', 'CoreyBrewer']
['MarcGasol', 'DeyontaDavis']
['BamAdebayo', 'DionWaiters']
['KhrisMiddleton', 'JabariParker']
['AndrewWiggins', 'ShabazzMuhammad']
['JrueHoliday', 'NikolaMirotic']
['CJMcCollum', 'ZachCollins']
['CourtneyLee', 'KyleOQuinn']
['RussellWestbrook', 'AlexAbrines']
['JonathonSimmons', 'WesleyIwundu']
['RobertCovington', 'JerrydBayless']
['JaredDudley', 'AveryBradley']
